Domain,Competency,Grade,LO Code, Outcome,Skill,Chimple Subject,Chimple Chapter,Chimple Lesson,Difficulty_Score,,,,,,,Source,Code,Score
Number Sense,Number Sequencing,Class 2 ,ILM 5.10,Can count forward and backward from a particular number up to 99,Arranges numbers from smallest to largest or largest to smallest within 1 to 99.,Math,Math Sense Beginners,Small to Big,0.5625,,,,,,,"Identifies numerical fraction labels (1/2, 1/3, 1/4, 1/8) and matches them to corresponding visual area models.",c136,0.875
Number Sense,Number Sequencing,Class 2 ,ILM 5.10,Can count forward and backward from a particular number up to 99,Arranges numbers from smallest to largest or largest to smallest within 1 to 99.,Math,Revision,Ascending and Descending - 2,0.5625,,,,,,,Identifies quantities up to 5 by counting discrete objects.,c16,0.25
Number Sense,Number Names & Numerals,Preschool 1,IL 1.10,Recites poems/stories based on number names up to 5,Identifies number names up to five correctly.,English,Counting,Count Upto 5 -1,0.3125,,,,,,,Identifies subtraction as the required operation and solves word problems where quantities are reduced or taken away.,c73,0.75
Number Sense,Number Names & Numerals,Preschool 1,IL 1.11,Recites poems using numbers of names up to 5 by hand movements showing fingers to show numbers,Matches spoken number names with visual sets of objects,Math,Number Sense 1- 5,"
Match Numbers 2",0.375,,,,,,,"Identifies the conceptual relationship between half and whole by comparing shared objects (e.g., pizza/apple).",c77,0.8125
Number Sense,Number Names & Numerals,Preschool 2,IL 2.11,Identifies numerals with corresponding numbers up to 5,Matches numerals 1–5 with the corresponding number of objects.,Math,Numbers 1 - 5,1,0.4375,,,,,,,Identifies the months of the year using a calendar in her daily life,c148,0.3125
Number Sense,Number Names & Numerals,Preschool 2,IL 2.11,Identifies numerals with corresponding numbers up to 5,Matches numerals 1–5 with the corresponding number of objects.,Math,Numbers 1 - 5,2,0.4375,,,,,,,Identifies the repeating unit and extends the pattern.,c108,0.25
Number Sense,Number Names & Numerals,Preschool 2,IL 2.11,Identifies numerals with corresponding numbers up to 5,Matches numerals 1–5 with the corresponding number of objects.,Math,Numbers 1 - 5,3,0.4375,,,,,,,Identifies three-quarters as three equal parts out of four and relates it to the whole.,c137,1
Number Sense,Number Names & Numerals,Preschool 2,IL 2.11,Identifies numerals with corresponding numbers up to 5,Matches numerals 1–5 with the corresponding number of objects.,Math,Numbers 1 - 5,4,0.4375,,,,,,,Identifies weight status (heavy/light) based on visual cues,c96,0.0625
Number Sense,Number Names & Numerals,Preschool 2,IL 2.11,Identifies numerals with corresponding numbers up to 5,Matches numerals 1–5 with the corresponding number of objects.,Math,Numbers 1 - 5,5,0.4375,,,,,,,Identifies whether addition or subtraction is required to solve a given numerical situation.,c132,0.75
Number Sense,Number Names & Numerals,Preschool 3,IL 3.11,Identifies numerals with numbers and writes numerals up to 9,Identifies numerals up to 9 by counting objects and matching them to the correct number.,English,Counting,"
Count Upto 9
",0.5,,,,,,,Identifies zero as representing no objects or nothing in a given set.,c39,0.25
Number Sense,Number Names & Numerals,Preschool 3,IL 3.11,Identifies numerals with numbers and writes numerals up to 9,Identifies numerals up to 9 by counting objects and matching them to the correct number.,English,Counting,"
Count Objects
",0.5,,,,,,,Identify zero as placeholder in hundreds/tens positions (Range: 100–900).,c40,0.3125
Number Sense,Number Names & Numerals,Preschool 3,IL 3.11,Identifies numerals with numbers and writes numerals up to 9,Writes numerals from 6 to 9 correctly to represent given quantities.,Math,Numbers 6 -10,6,0.5625,,,,,,,Interprets analog clock faces to identify and name specific hourly timeframes (O'clock).,c103,0.1875
Number Sense,Number Names & Numerals,Preschool 3,IL 3.11,Identifies numerals with numbers and writes numerals up to 9,Writes numerals from 6 to 9 correctly to represent given quantities.,Math,Numbers 6 -10,7,0.5625,,,,,,,Matches and aligns objects based on specific shape and color.,c4,0.0625
Number Sense,Number Names & Numerals,Preschool 3,IL 3.11,Identifies numerals with numbers and writes numerals up to 9,Writes numerals from 6 to 9 correctly to represent given quantities.,Math,Numbers 6 -10,8,0.5625,,,,,,,Matches complex real-world solids to geometric shapes to identify characteristics like flat vs. curved surfaces.,c139,0.1875
Number Sense,Number Names & Numerals,Preschool 3,IL 3.11,Identifies numerals with numbers and writes numerals up to 9,Writes numerals from 6 to 9 correctly to represent given quantities.,Math,Numbers 6 -10,9,0.5625,,,,,,,Matches each item to one corresponding cut-out.,c1,0
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Identifies and writes numerals from 11 to 20 to represent given quantities.,Math,Numbers 6 -10,10,0.625,,,,,,,Matches individual objects to demonstrate basic one-to-one correspondence using identical pairs.,c2,0.0625
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Identifies and writes numerals from 11 to 20 to represent given quantities.,Math,Numbers 11-20,11,0.625,,,,,,,Matches numerals 1–5 with the corresponding number of objects.,c30,0.4375
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Identifies and writes numerals from 11 to 20 to represent given quantities.,Math,Numbers 11-20,12,0.625,,,,,,,Matches real-world objects to their corresponding 3D shapes.,c83,0.125
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Identifies and writes numerals from 11 to 20 to represent given quantities.,Math,Numbers 11-20,13,0.625,,,,,,,Matches spoken number names with visual sets of objects,c29,0.375
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Identifies and writes numerals from 11 to 20 to represent given quantities.,Math,Numbers 11-20,14,0.625,,,,,,,Names common 3D objects by identifying their geometric forms in the environment.,c82,0.0625
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Identifies and writes numerals from 11 to 20 to represent given quantities.,Math,Numbers 11-20,15,0.625,,,,,,,Names the correct day when describing familiar events.,c147,0.25
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Identifies and writes numerals from 11 to 20 to represent given quantities.,Math,Numbers 11-20,16,0.625,,,,,,,Names the correct month when describing familiar events.,c105,0.25
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Identifies and writes numerals from 11 to 20 to represent given quantities.,Math,Numbers 11-20,17,0.625,,,,,,,Orders numbers from bigger to smaller within 1 to 9.,c117,0.4375
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Identifies and writes numerals from 11 to 20 to represent given quantities.,Math,Numbers 11-20,18,0.625,,,,,,,Ranks a set of three objects based on their specific length or height properties.,c94,0.1875
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Identifies and writes numerals from 11 to 20 to represent given quantities.,Math,Numbers 11-20,19,0.625,,,,,,,Reads and writes number names and matches them with corresponding numerals up to 999.,c35,0.75
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Identifies and writes numerals from 11 to 20 to represent given quantities.,Math,Numbers 11-20,20,0.625,,,,,,,"Reads, writes, and matches three-digit numerals with their corresponding number names within the 100–500 range",c36,0.8125
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Writes two-digit numerals correctly from 21 to 99 and matches them to quantities when shown.,Math,Numbers 21-100,"Write 21-30

",0.6875,,,,,,,Recalls technical time conversions (seconds/minutes/hours) and basic week/month durations.,c146,0.25
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Writes two-digit numerals correctly from 21 to 99 and matches them to quantities when shown.,Math,Numbers 21-100,Write 31-40,0.6875,,,,,,,Recognises and extends simple patterns,c106,0.125
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Writes two-digit numerals correctly from 21 to 99 and matches them to quantities when shown.,Math,Numbers 21-100,Write 41--50,0.6875,,,,,,,"Recognizes and distinguishes between standard Indian currency notes (₹10, ₹20, ₹100) by relating images to labels.",c90,0.4375
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Writes two-digit numerals correctly from 21 to 99 and matches them to quantities when shown.,Math,Numbers 21-100,Write 51-60,0.6875,,,,,,,"Recognizes specific types of days, such as weekends and holidays, in context.",c102,0.125
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Writes two-digit numerals correctly from 21 to 99 and matches them to quantities when shown.,Math,Numbers 21-100,Write 61-70,0.6875,,,,,,,Relate actions to day/night periods.,c85,0
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Writes two-digit numerals correctly from 21 to 99 and matches them to quantities when shown.,Math,Numbers 21-100,Write 71-80,0.6875,,,,,,,"Relates 3D objects to flat faces through visual matching (e.g., television to rectangle).",c84,0.125
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Writes two-digit numerals correctly from 21 to 99 and matches them to quantities when shown.,Math,Numbers 21-100,Write 81-90,0.6875,,,,,,,Relates repeated addition to multiplication ideas using simple examples.,c68,0.5
Number Sense,Number Names & Numerals,Class 1,ILM 4.11,Identifies numerals with numbers and writes numerals up to 99,Writes two-digit numerals correctly from 21 to 99 and matches them to quantities when shown.,Math,Numbers 21-100,Write 91-100,0.6875,,,,,,,Removes three or four objects from a group and recounts to find the remaining number (up to 9).,c58,0.375
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Identifies and reads ordinal number names to describe sequential positions up to 100.,English,Counting,"Ordinal Counting
",0.75,,,,,,,Reproduces the sequential order of all 7 days and first 6 months of the year.,c104,0.1875
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Identifies and reads ordinal number names to describe sequential positions up to 100.,English,Counting,Ordinal Counting 1,0.75,,,,,,,Selects the appropriate relative time adverbs (today/tomorrow/yesterday) to complete routine contextual sentences.,c101,0.0625
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Identifies and reads ordinal number names to describe sequential positions up to 100.,English,Counting,Ordinal Counting 2,0.75,,,,,,,"Selects the correct comparison words ""more"" or ""less"" to describe visual volumes in containers",c99,0.3125
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Identifies and reads ordinal number names to describe sequential positions up to 100.,English,Counting,Ordinal Counting 3,0.75,,,,,,,Selects the correct operation (addition or subtraction) to solve mixed word problems in familiar contexts.,c135,0.8125
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Reads and writes number names and matches them with corresponding numerals up to 999.,English,Numbers,"Number Names
",0.75,,,,,,,Selects the heaviest or lightest item from a set of three objects using visual weight comparisons,c98,0.1875
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Reads and writes number names and matches them with corresponding numerals up to 999.,English,Numbers,Number Names 2,0.75,,,,,,,Sequence activities using hourly markers.,c88,0.1875
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Reads and writes number names and matches them with corresponding numerals up to 999.,English,Numbers,Number Names 3,0.75,,,,,,,Sequences numbers forward and backward within the range of 1 to 20.,c23,0.5
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Reads and writes number names and matches them with corresponding numerals up to 999.,English,Numbers,Number Names 4,0.75,,,,,,,Sequences three cards based on a single attribute to demonstrate early seriation logic.,c12,0.0625
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Reads and writes number names and matches them with corresponding numerals up to 999.,English,Numbers,Number Names 5,0.75,,,,,,,Solves addition statements up to 18 by interpreting simple number sentences linked to objects or situations.,c52,0.5
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Reads and writes number names and matches them with corresponding numerals up to 999.,English,Numbers,Number Names 6,0.75,,,,,,,Solves complex two-digit subtraction problems (up to 99) by applying regrouping strategies and multiples of ten.,c131,0.875
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Reads and writes number names and matches them with corresponding numerals up to 999.,English,Numbers,Number Names 7,0.75,,,,,,,Solves horizontal addition sentences up to 20.,c53,0.5625
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Reads and writes number names and matches them with corresponding numerals up to 999.,English,Numbers,Number Names 8,0.75,,,,,,,Subtracts quantities in a word problem to find how many remain or the difference.,c67,0.6875
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,"Reads, writes, and matches three-digit numerals with their corresponding number names within the 100–500 range",Math,Math Sense Beginners,100 - 500,0.8125,,,,,,,Traces the outlines of basic 2D shapes,c80,0
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Evaluates numerical placement in sequences up to 999 to identify missing terms.,Math,3 Digit Numbers,Write 100–110,0.875,,,,,,,"Uses known multiplication facts to quickly find products, extending understanding beyond tables of 2–4.",c134,0.75
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Evaluates numerical placement in sequences up to 999 to identify missing terms.,Math,3 Digit Numbers,100–150,0.875,,,,,,,Uses subtraction facts to find how many remain when objects are taken away from 10.,c61,0.5625
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Evaluates numerical placement in sequences up to 999 to identify missing terms.,Math,3 Digit Numbers,150–200,0.875,,,,,,,"Uses the word ""half"" to describe one of two equal parts of a whole object in routine visual contexts.",c75,0.6875
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Evaluates numerical placement in sequences up to 999 to identify missing terms.,Math,3 Digit Numbers,200–250,0.875,,,,,,,Utilizes pictorial hand-spans as non-standard digital benchmarks to estimate length.,c95,0.25
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Evaluates numerical placement in sequences up to 999 to identify missing terms.,Math,3 Digit Numbers,250–300,0.875,,,,,,,Verifies pictorial quantities within the 11–20 range to confirm counting accuracy.,c18,0.375
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Evaluates numerical placement in sequences up to 999 to identify missing terms.,Math,3 Digit Numbers,300–400,0.875,,,,,,,Writes numerals from 6 to 9 correctly to represent given quantities.,c32,0.5625
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Evaluates numerical placement in sequences up to 999 to identify missing terms.,Math,3 Digit Numbers,400–500,0.875,,,,,,,Writes two-digit numerals correctly from 21 to 99 and matches them to quantities when shown.,c34,0.6875
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Evaluates numerical placement in sequences up to 999 to identify missing terms.,Math,3 Digit Numbers,500–600,0.875,,,,,,,,,
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Evaluates numerical placement in sequences up to 999 to identify missing terms.,Math,3 Digit Numbers,600–700,0.875,,,,,,,,,
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Evaluates numerical placement in sequences up to 999 to identify missing terms.,Math,3 Digit Numbers,700–800,0.875,,,,,,,,,
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Evaluates numerical placement in sequences up to 999 to identify missing terms.,Math,3 Digit Numbers,800–900,0.875,,,,,,,,,
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Evaluates numerical placement in sequences up to 999 to identify missing terms.,Math,3 Digit Numbers,900–999,0.875,,,,,,,,,
Number Sense,Number Names & Numerals,Class 2 ,ILM 5.11,Reads and writes number names and numerals for numbers up to 999,Evaluates numerical placement in sequences up to 999 to identify missing terms.,Math,3 Digit Numbers,Number Order,0.875,,,,,,,,,
Number Sense,Understanding Zero,Class 1,ILM 4.12,Develops the concept of zero,Identifies zero as representing no objects or nothing in a given set.,Math,Numbers 6 - 10,0,0.25,,,,,,,,,
Number Sense,Understanding Zero,Class 2 ,ILM 5.12,Uses zero in place value system,Identify zero as placeholder in hundreds/tens positions (Range: 100–900).,Math,Place Value 1,100–200,0.3125,,,,,,,,,
Number Sense,Understanding Zero,Class 2 ,ILM 5.12,Uses zero in place value system,Identify zero as placeholder in hundreds/tens positions (Range: 100–900).,Math,Place Value 1,300–900,0.3125,,,,,,,,,
Number Sense,Understanding Zero,Class 2 ,ILM 5.12,Uses zero in place value system,Identify zero as placeholder in hundreds/tens positions (Range: 100–900).,Math,Math Sense Beginners,"Place Value 100 - 300
",0.3125,,,,,,,,,
Number Sense,Understanding Zero,Class 2 ,ILM 5.12,Uses zero in place value system,Identify zero as placeholder in hundreds/tens positions (Range: 100–900).,Math,Math Sense Beginners,Place Value 300 - 500,0.3125,,,,,,,,,
Number Sense,Understanding Zero,Class 2 ,ILM 5.12,Uses zero in place value system,Apply zero logic across full range of 3-digit numbers (Range: 100–999).,Math,Place Value 2,100-300,0.375,,,,,,,,,
Number Sense,Understanding Zero,Class 2 ,ILM 5.12,Uses zero in place value system,Apply zero logic across full range of 3-digit numbers (Range: 100–999).,Math,Place Value 2,200-300,0.375,,,,,,,,,
Number Sense,Understanding Zero,Class 2 ,ILM 5.12,Uses zero in place value system,Apply zero logic across full range of 3-digit numbers (Range: 100–999).,Math,Place Value 2,300-500,0.375,,,,,,,,,
Number Sense,Understanding Zero,Class 2 ,ILM 5.12,Uses zero in place value system,Apply zero logic across full range of 3-digit numbers (Range: 100–999).,Math,Place Value 2,300-600,0.375,,,,,,,,,
Number Sense,Understanding Zero,Class 2 ,ILM 5.12,Uses zero in place value system,Apply zero logic across full range of 3-digit numbers (Range: 100–999).,Math,Place Value 2,100-999,0.375,,,,,,,,,
Number Sense,Understanding Zero,Class 2 ,ILM 5.12,Uses zero in place value system,Apply zero logic across full range of 3-digit numbers (Range: 100–999).,Math,Place Value 2,200-700,0.375,,,,,,,,,
Number Sense,Understanding Zero,Class 2 ,ILM 5.12,Uses zero in place value system,Apply zero logic across full range of 3-digit numbers (Range: 100–999).,Math,Place Value 2,500 - 900,0.375,,,,,,,,,
Number Sense,Understanding Zero,Class 2 ,ILM 5.12,Uses zero in place value system,Apply zero logic across full range of 3-digit numbers (Range: 100–999).,Math,Place Value 2,500-700,0.375,,,,,,,,,
Number Sense,Understanding Zero,Class 2 ,ILM 5.12,Uses zero in place value system,Apply zero logic across full range of 3-digit numbers (Range: 100–999).,Math,Place Value 2,700-900,0.375,,,,,,,,,
Number Sense,Understanding Zero,Class 2 ,ILM 5.12,Uses zero in place value system,Apply zero logic across full range of 3-digit numbers (Range: 100–999).,Math,Place Value 2,800-999,0.375,,,,,,,,,
Number Sense,Comparing Numbers,Preschool 1,IL 1.13,Compares two numbers upto 3 and uses vocabulary like more and less,Identifies more or less in groups up to 3 through counting.,English,Counting,Count,0.25,,,,,,,,,
Number Sense,Comparing Numbers,Preschool 2,IL 2.13,"Compares two numbers up to 5 and uses vocabulary like more than, less than",Compares two numbers up to 5 using appropriate comparison vocabulary.,Math,Number Sense 1-100,Big & Small 1-5,0.3125,,,,,,,,,
Number Sense,Comparing Numbers,Preschool 3,IL 3.13,"Compares two numbers up to 10 and uses vocabulary like more than, less than","Compares two numbers or sets up to 10 using appropriate comparison vocabulary (more than, less than, bigger, smaller).",Math,Number Sense 1-100,"
Compare With 10",0.375,,,,,,,,,
Number Sense,Comparing Numbers,Preschool 3,IL 3.13,"Compares two numbers up to 10 and uses vocabulary like more than, less than","Compares two numbers or sets up to 10 using appropriate comparison vocabulary (more than, less than, bigger, smaller).",Math,Number Sense 1-100,Count and Compare,0.375,,,,,,,,,
Number Sense,Comparing Numbers,Preschool 3,IL 3.13,"Compares two numbers up to 10 and uses vocabulary like more than, less than","Compares two numbers or sets up to 10 using appropriate comparison vocabulary (more than, less than, bigger, smaller).",Math,Number Sense 1-100,Big & Small 1-10,0.375,,,,,,,,,
Number Sense,Comparing Numbers,Class 1,ILM 4.13,Compares two numbers up to 20 and uses vocabulary like bigger than or smaller than,Compares two-digit numbers up to 20 using the terms greater than and less than.,Math,Comparison Of Numbers, Big & Small 1-20,0.4375,,,,,,,,,
Number Sense,Comparing Numbers,Class 2 ,ILM 5.13,Compares and forms the greatest and smallest two-digit numbers (with and without repetition of given digits).,Compares numerical magnitudes for 2-digit numerals up to 99.,Math,Comparison Of Numbers,Big & Small 1-50,0.5,,,,,,,,,
Number Sense,Comparing Numbers,Class 2 ,ILM 5.13,Compares and forms the greatest and smallest two-digit numbers (with and without repetition of given digits).,Compares numerical magnitudes for 2-digit numerals up to 99.,Math,Comparison Of Numbers,More Big & Small 1-50,0.5,,,,,,,,,
Number Sense,Comparing Numbers,Class 2 ,ILM 5.13,Compares and forms the greatest and smallest two-digit numbers (with and without repetition of given digits).,Compares numerical magnitudes for 2-digit numerals up to 99.,Math,Comparison Of Numbers,Less or More 50-90,0.5,,,,,,,,,
Number Sense,Comparing Numbers,Class 2 ,ILM 5.13,Compares and forms the greatest and smallest two-digit numbers (with and without repetition of given digits).,Compares numerical magnitudes for 2-digit numerals up to 99.,Math,Comparison Of Numbers,Less or More 1-100,0.5,,,,,,,,,
Number Sense,Comparing Numbers,Class 2 ,ILM 5.13,Compares and forms the greatest and smallest two-digit numbers (with and without repetition of given digits).,Compares numerical magnitudes for 3-digit numerals up to 999.,Math,Comparison Of Numbers,"Less or More 1-900
",0.5625,,,,,,,,,
Number Sense,Comparing Numbers,Class 2 ,ILM 5.13,Compares and forms the greatest and smallest two-digit numbers (with and without repetition of given digits).,Compares numerical magnitudes for 3-digit numerals up to 999.,Math,Comparison Of Numbers,Less or More 1-999,0.5625,,,,,,,,,
Number Sense,Comparing Numbers,Class 2 ,ILM 5.13,Compares and forms the greatest and smallest two-digit numbers (with and without repetition of given digits).,Compares numerical magnitudes for 3-digit numerals up to 999.,Math,Comparison Of Numbers,Comparison 100-999,0.5625,,,,,,,,,
Number Operations,Addition,Preschool 2,IL 2.14,Combines two groups up to 5 objects and recounts,Finds the total by combining and recounting two groups (up to 5).,Math,Addition Beginners,"Add 1
",0.25,,,,,,,,,
Number Operations,Addition,Preschool 2,IL 2.14,Combines two groups up to 5 objects and recounts,Finds the total by combining and recounting two groups (up to 5).,Math,Addition Beginners,Add 2,0.25,,,,,,,,,
Number Operations,Addition,Preschool 3,IL 3.14,Combines two groups up to 9 objects and recounts,Combines two groups of objects and recounts to find the total (up to 9).,Math,Addition Beginners,"Quick  Addition 1
",0.3125,,,,,,,,,
Number Operations,Addition,Preschool 3,IL 3.14,Combines two groups up to 9 objects and recounts,Combines two groups of objects and recounts to find the total (up to 9).,Math,Addition Beginners,Quick  Addition 2,0.3125,,,,,,,,,
Number Operations,Addition,Preschool 3,IL 3.14,Combines two groups up to 9 objects and recounts,Combines two groups of objects and recounts to find the total (up to 9).,Math,Addition Beginners,Quick  Addition 3,0.3125,,,,,,,,,
Number Operations,Addition,Preschool 3,IL 3.14,Combines two groups up to 9 objects and recounts,Determines the total of two small groups quickly by recognizing quantities and recounting when needed (up to 9).,Math,Addition Beginners,Count and Add -1,0.375,,,,,,,,,
Number Operations,Addition,Preschool 3,IL 3.14,Combines two groups up to 9 objects and recounts,Determines the total of two small groups quickly by recognizing quantities and recounting when needed (up to 9).,Math,Addition Beginners,Count and Add -2,0.375,,,,,,,,,
Number Operations,Addition,Preschool 3,IL 3.14,Combines two groups up to 9 objects and recounts,Combines two groups of objects and recounts to find the total (up to 9).,"Math",Addition Basic,Addition Beginners ,0.3125,,,,,,,,,
Number Operations,Addition,Preschool 3,IL 3.14,Combines two groups up to 9 objects and recounts,Combines two groups of objects and recounts to find the total (up to 9).,"Math",Addition Basic,Addition,0.3125,,,,,,,,,
Number Operations,Addition,Preschool 3,IL 3.14,Combines two groups up to 9 objects and recounts,Combines two groups of objects and recounts to find the total (up to 9).,"Math",Addition Basic,Quick Addition 1-10,0.3125,,,,,,,,,
Number Operations,Addition,Preschool 3,IL 3.14,Combines two groups up to 9 objects and recounts,Combines two groups of objects and recounts to find the total (up to 9).,"Math",Addition Basic,Family of 10,0.3125,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Constructs addition facts up to 18 by grouping objects together.,Math,Addition Beginners,Add 3 and 4,0.4375,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Constructs addition facts up to 20 by combining objects and analyzing number sentences.,Math,Addition Basic,Count & Add 1,0.5,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Constructs addition facts up to 20 by combining objects and analyzing number sentences.,Math,Addition Basic,Count & Add 2,0.5,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Constructs addition facts up to 20 by combining objects and analyzing number sentences.,Math,Addition Basic,Addition 1,0.5,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Constructs addition facts up to 20 by combining objects and analyzing number sentences.,Math,Addition Basic,Addition 2,0.5,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Constructs addition facts up to 20 by combining objects and analyzing number sentences.,Math,Addition Basic,Addition 3,0.5,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Constructs addition facts up to 20 by combining objects and analyzing number sentences.,Math,Addition Basic,Addition Mastery,0.5,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Constructs addition facts up to 20 by combining objects and analyzing number sentences.,Math,Addition Basic,Family Of 20-1,0.5,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Constructs addition facts up to 20 by combining objects and analyzing number sentences.,Math,Addition Basic,Family Of 20-2,0.5,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Constructs addition facts up to 20 by combining objects and analyzing number sentences.,Math,Addition Basic,Beginners Addition 1-20,0.5,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Constructs addition facts up to 20 by combining objects and analyzing number sentences.,Math,Addition Basic,More Addition 1-20,0.5,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Constructs addition facts up to 20 by combining objects and analyzing number sentences.,Math,Addition Basic,Quick Addition 20,0.5,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Constructs addition facts up to 20 by combining objects and analyzing number sentences.,Math,Addition Basic,Addition 11-20,0.5,,,,,,,,,
