sourceSkillId	targetSkillId
Recognizes longer, high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.	Reads and understands/creates longer and more complex sentences.
Identifies the beginning, middle, and ending sounds in words through auditory discrimination.	Decodes words by identifying the individual phonetic sounds of each lettersnd blends these sounds together to accurately read the complete word (e.g., /c/-/a/-/t/ -> cat).
Identifies the beginning, middle, and ending sounds in words through auditory discrimination.	Reads longer and more complex words by applying phonics knowledge, breaking words into smaller sound units or chunks, and blending them smoothly to read the whole word with accuracy and understanding.
Identifies the beginning, middle, and ending sounds in words through auditory discrimination.	Traces and writes words by following correct letter formation and writing sequence, while decoding individual letters to understand and reinforce correct spelling.
Identifies the beginning, middle, and ending sounds in words through auditory discrimination.	Identifies the correct spelling of words.
Identifies the beginning, middle, and ending sounds in words through auditory discrimination.	Reads and understands simple sentences related to everyday life.
Identifies the beginning, middle, and ending sounds in words through auditory discrimination.	Identifies and distinguishes between singular and plural forms when presented in isolation and sentences by recognizing whether a word or object refers to one or more than one.
Identifies the beginning, middle, and ending sounds in words through auditory discrimination.	Reads and understands/creates longer and more complex sentences.
Decodes words by identifying the individual phonetic sounds of each lettersnd blends these sounds together to accurately read the complete word (e.g., /c/-/a/-/t/ -> cat).	Reads longer and more complex words by applying phonics knowledge, breaking words into smaller sound units or chunks, and blending them smoothly to read the whole word with accuracy and understanding.
Decodes words by identifying the individual phonetic sounds of each lettersnd blends these sounds together to accurately read the complete word (e.g., /c/-/a/-/t/ -> cat).	Traces and writes words by following correct letter formation and writing sequence, while decoding individual letters to understand and reinforce correct spelling.
Decodes words by identifying the individual phonetic sounds of each lettersnd blends these sounds together to accurately read the complete word (e.g., /c/-/a/-/t/ -> cat).	Identifies the correct spelling of words.
Decodes words by identifying the individual phonetic sounds of each lettersnd blends these sounds together to accurately read the complete word (e.g., /c/-/a/-/t/ -> cat).	Reads and understands simple sentences related to everyday life.
Decodes words by identifying the individual phonetic sounds of each lettersnd blends these sounds together to accurately read the complete word (e.g., /c/-/a/-/t/ -> cat).	Identifies and distinguishes between singular and plural forms when presented in isolation and sentences by recognizing whether a word or object refers to one or more than one.
Decodes words by identifying the individual phonetic sounds of each lettersnd blends these sounds together to accurately read the complete word (e.g., /c/-/a/-/t/ -> cat).	Reads and understands/creates longer and more complex sentences.
Reads longer and more complex words by applying phonics knowledge, breaking words into smaller sound units or chunks, and blending them smoothly to read the whole word with accuracy and understanding.	Reads and understands simple sentences related to everyday life.
Reads longer and more complex words by applying phonics knowledge, breaking words into smaller sound units or chunks, and blending them smoothly to read the whole word with accuracy and understanding.	Reads and understands/creates longer and more complex sentences.
Identifies and names key details in pictures by observing and labeling specific features shown.	Identifies naming words (nouns) in isolation and in simple sentences.
Traces and writes words by following correct letter formation and writing sequence, while decoding individual letters to understand and reinforce correct spelling.	Identifies the correct spelling of words.
Traces and writes words by following correct letter formation and writing sequence, while decoding individual letters to understand and reinforce correct spelling.	Recognizes longer and more complex high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.
Traces and writes words by following correct letter formation and writing sequence, while decoding individual letters to understand and reinforce correct spelling.	Reads and understands simple sentences related to everyday life.
Traces and writes words by following correct letter formation and writing sequence, while decoding individual letters to understand and reinforce correct spelling.	Reads and understands/creates longer and more complex sentences.
Identifies the correct spelling of words.	Recognizes longer and more complex high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.
Identifies the correct spelling of words.	Identifies and distinguishes between singular and plural forms when presented in isolation and sentences by recognizing whether a word or object refers to one or more than one.
Reads and understands simple sentences related to everyday life.	Reads and understands/creates longer and more complex sentences.
Identifies naming words (nouns) in isolation and in simple sentences.	Identifies and uses the pronoun in simple sentences by recognizing words used in place of naming words.
Identifies naming words (nouns) in isolation and in simple sentences.	Identifies action words (verbs) in simple sentences by recognizing words that show actions.
Identifies naming words (nouns) in isolation and in simple sentences.	Identifies and uses articles correctly in simple sentences by recognizing it as a word used to refer to a specific noun.
Identifies naming words (nouns) in isolation and in simple sentences.	Identifies and uses different grammar words and sentence structures to form meaningful sentences.
Identifies naming words (nouns) in isolation and in simple sentences.	Identifies and uses prepositions to show position, place, or direction in simple sentences.
Identifies naming words (nouns) in isolation and in simple sentences.	Identifies and uses adjectives in simple sentences by recognizing words that describe nouns, such as size, color, number, or quality.
Identifies naming words (nouns) in isolation and in simple sentences.	Identifies and distinguishes between singular and plural forms when presented in isolation and sentences by recognizing whether a word or object refers to one or more than one.
Identifies naming words (nouns) in isolation and in simple sentences.	Reads and understands/creates longer and more complex sentences.
Identifies and uses the pronoun in simple sentences by recognizing words used in place of naming words.	Identifies action words (verbs) in simple sentences by recognizing words that show actions.
Identifies and uses the pronoun in simple sentences by recognizing words used in place of naming words.	Identifies and uses adjectives in simple sentences by recognizing words that describe nouns, such as size, color, number, or quality.
Identifies and uses the pronoun in simple sentences by recognizing words used in place of naming words.	Reads and understands/creates longer and more complex sentences.
Identifies action words (verbs) in simple sentences by recognizing words that show actions.	Identifies and uses different grammar words and sentence structures to form meaningful sentences.
Identifies action words (verbs) in simple sentences by recognizing words that show actions.	Reads and understands/creates longer and more complex sentences.
Identifies and uses prepositions to show position, place, or direction in simple sentences.	Reads and understands/creates longer and more complex sentences.
Identifies and uses basic punctuations correctly in sentences.	Reads and understands/creates longer and more complex sentences.
Identifies and uses adjectives in simple sentences by recognizing words that describe nouns, such as size, color, number, or quality.	Reads and understands/creates longer and more complex sentences.
Identifies and distinguishes between singular and plural forms when presented in isolation and sentences by recognizing whether a word or object refers to one or more than one.	Reads and understands/creates longer and more complex sentences.
